"index","id","name","alias","type","rating","review_count","price","location","latitude","longitude"
"106","0Rcia5STyC5OseOm97YXJA","Giamela's Submarine Sandwiches","giamelas-submarine-sandwiches-sunland","sandwiches","4",151,"1",91040,"34.2601","-118.324"
"107","zyNfJM8HGoZWXb0cvkAIoA","Wingstop","wingstop-pacoima","chicken_wings","2.5",110,"2",91331,"34.2745","-118.411"
"108","duHI9GqeJg8Uslke3P-LeA","Hound Dog Hot Dog Shop","hound-dog-hot-dog-shop-sun-valley","hotdog","4",61,"1",91352,"34.2279","-118.365"
"109","mT8a21lIOnzdvqHpOEYdnQ","Teriyaki House","teriyaki-house-san-fernando-2","japanese","3.5",186,"1",91340,"34.283","-118.44"
"110","s25buuFySDivV0YufJrsxg","Fast N Fresh Mexican Grill","fast-n-fresh-mexican-grill-sylmar-2","mexican","4.5",153,"1",91342,"34.3242","-118.46"
"111","UM3J2Z1Q-zirOT51HzT7sA","Wendill's Chicken House","wendills-chicken-house-arleta","thai","4",159,"1",91331,"34.2578","-118.414"
"112","Rk5y0wwcDWxvaTr3z5u8SQ","Stinkin Crawfish - North Hills","stinkin-crawfish-north-hills-north-hills","cajun","4.5",269,"2",91343,"34.2358","-118.467"
"113","T-K7pqWSYFEk-wi74db50g","FurnSaj Bakery & Restaurant","furnsaj-bakery-and-restaurant-los-angeles-3","bakeries","5",708,"1",91344,"34.2737","-118.501"
"114","ls9YvfUCBusDVo7syIJzfQ","Bird Coma","bird-coma-los-angeles-3","foodtrucks","4.5",81,"2",91352,"34.2235","-118.361"
"115","joppwjuivDhf3qmw1ElV2w","Chela's Mexican Restaurant","chelas-mexican-restaurant-sun-valley","seafood","4",39,"2",91352,"34.2363","-118.391"
"116","gEMQNP4jvggsakiUIBvJsg","Coco's Bakery Restaurant","cocos-bakery-restaurant-sunland-3","tradamerican","3",92,"2",91040,"34.2598","-118.325"
"117","97R6I9n3LcjeePkHz9-8ww","Taco Ranch","taco-ranch-los-angeles-2","tacos","4.5",110,"1",91040,"34.2471","-118.357"
"118","SRUTP5OqMMRLFNu1NRcH_A","Rosie's Tamales","rosies-tamales-los-angeles-3","mexican","4.5",43,"1",91331,"34.2691","-118.408"
"119","JgiUh5FJkoJwCI9z6PKLOw","Queens Burgers","queens-burgers-pacoima","burgers","3.5",160,"1",91331,"34.2538","-118.411"
"120","nYovWkOxck1LadPnJgrjjQ","Da Juice Box","da-juice-box-sylmar","sandwiches","4.5",19,"1",91342,"34.3078","-118.431"
"121","U81hd51sncUQ-tufA-MIrA","Goto at Silog","goto-at-silog-panorama-city","filipino","4.5",133,"1",91402,"34.221","-118.452"
"122","g4GIPbRHQegxexVYbTn3cw","Wingstop","wingstop-san-fernando","chicken_wings","2.5",164,"2",91340,"34.2839","-118.442"
"123","GYqHQBOp-l7z8HbFyb9VzA","Casa Nuova","casa-nuova-sun-valley-3","pizza","3.5",155,"2",91352,"34.2284","-118.365"
"124","377UhjkM6Dl3Mw6cGQYM5w","Los Ruizenores","los-ruizenores-sylmar-14","mexican","4.5",81,"1",91342,"34.3188","-118.464"
"125","2TJRZqEHbiwLhhRTlSHYXQ","Los Poblanos Taqueria Y Birrieria","los-poblanos-taqueria-y-birrieria-san-fernando","mexican","4",76,"1",91340,"34.2885","-118.435"
"126","I_oLq7TQhI2sGT79tnYcww","Tony's Pizza","tonys-pizza-san-fernando","pizza","3.5",118,"2",91340,"34.2987","-118.439"
"127","2mzGOpkZ5S_wpWPOH0UQGA","Toto's Seafood Grill","totos-seafood-grill-panorama-city","filipino","4",78,"1",91402,"34.2219","-118.448"
"128","tr9NbRHlAGa8Yqb8BayrwQ","Teriyakiya","teriyakiya-granada-hills","japanese","4.5",243,"1",91344,"34.2638","-118.502"
"129","XMJAEYzdtBaB_wnZlIekTQ","Teriyaki Madness","teriyaki-madness-sylmar-2","japanese","3",40,"1",91342,"34.3093","-118.433"
"130","fWPF_XlohckneWAEE1hVyw","Pacoima Chinese Fast Food","pacoima-chinese-fast-food-pacoima","chinese","4",25,"1",91331,"34.2753","-118.413"
"131","BWd06JUkb2qJLn-HH3_phQ","Mercado Buenos Aires","mercado-buenos-aires-van-nuys","steak","4",539,"2",91405,"34.2078","-118.466"
"132","vRGGGg1dd97UyFAKn-VQZg","Sushi Dragon","sushi-dragon-sun-valley","sushi","4",218,"2",91352,"34.2169","-118.37"
"133","ajG-nLCGj147rw2E2l_sKQ","Thai Thai Cafe","thai-thai-cafe-panorama-city","thai","4",83,"1",91402,"34.222","-118.429"
"134","v_q--StVc17Ix-jiZri9UA","Chubasco Restaurant","chubasco-restaurant-san-fernando","mexican","4.5",60,"1",91340,"34.2742","-118.448"
"135","TKKCPrBj29xiBxevGB6jhg","The Mandarin Terrace","the-mandarin-terrace-sun-valley","chinese","4",132,"2",91352,"34.2291","-118.367"
"136","JE9bqIFQtn5BVeGTAAWaWw","Pena's Tacos","penas-tacos-los-angeles-2","seafood","4",326,"1",91040,"34.2598","-118.314"
"137","YRjdc70r3BI8QdI-tSGKVw","Rodney's Ribs","rodneys-ribs-pasadena-2","foodtrucks","4.5",106,"2",91104,"34.2452","-118.273"
"138","sFPVLoBPA1b0lP-VQk34lg","Domino's Pizza","dominos-pizza-sylmar-4","chicken_wings","2",29,"1",91342,"34.2772","-118.399"
"139","TdlaiYxhAXRBX8JHPiqRhw","Bamboo Bistro","bamboo-bistro-panorama-city","filipino","4",221,"2",91402,"34.2254","-118.449"
"140","D1jm7ee_YWjn0D-Zo96JMw","El Nayarit","el-nayarit-san-fernando","mexican","4",59,"1",91340,"34.2899","-118.433"
"141","uxbolocJmaJsNxNoZMMJgw","Tortas Ahogadas Las Originales","tortas-ahogadas-las-originales-san-fernando","mexican","3.5",233,"1",91340,"34.2794","-118.455"
"142","_Yk7egR_zVf6Z-kqwV-hfw","Guido's Pizza & Pasta","guidos-pizza-and-pasta-sylmar","pizza","4",156,"1",91342,"34.3071","-118.45"
"143","JyUBFQGTZHL4KZvPnNhi2g","La Corona Tortilleria","la-corona-tortilleria-san-fernando","importedfood","4.5",22,"1",91340,"34.2832","-118.447"
"144","BsiRm7gnmhfOiSNHlMAbbQ","Lola's Baja Tacos","lolas-baja-tacos-granada-hills","seafood","4",1016,"2",91344,"34.2652","-118.503"
"145","74GW6Mc-QEg4o9s3iDZxRw","Crazy Falafel","crazy-falafel-granada-hills","falafel","4",188,"1",91344,"34.2578","-118.499"
"146","nO-3RNO0eki7QXKs8QAOSw","Chipotle Mexican Grill","chipotle-mexican-grill-san-fernando","mexican","2.5",118,"1",91340,"34.2836","-118.441"
"147","4QjMp6h-W6r4j_HP1COjiQ","Horseless Carriage Restaurant","horseless-carriage-restaurant-north-hills","tradamerican","4",311,"2",91343,"34.2216","-118.47"
"148","RbbPE7YHC1Gyu9ynitzjVw","Tacos El Pimi","tacos-el-pimi-los-angeles","foodtrucks","5",4,"1",91342,"34.2809","-118.402"
"149","bob7ANO6QKStDFsa_Qn46Q","Go Fusion N Grill","go-fusion-n-grill-sun-valley","foodtrucks","4",106,"2",91352,"34.2132","-118.359"
"150","dQ4IptYD3i54PJqoe6GIYw","Daniela's Tacos","danielas-tacos-los-angeles-2","foodtrucks","5",8,"1",91605,"34.2149","-118.387"
"151","CJCSqsQMDNQQjjrbcYhqWA","ZingGa Grill","zingga-grill-santa-clarita-2","korean","4.5",309,"1",91321,"34.4043","-118.465"
"152","U7mPfP2ic8LcgRqq3v1pSg","The Crow's Nest Sports Grille","the-crows-nest-sports-grille-tujunga","sportsbars","4",117,"2",91042,"34.25","-118.29"
"153","RBoyiYAdtT4j94OJ3jwgyA","Huaraches Y Quesadillas Chayito","huaraches-y-quesadillas-chayito-los-angeles","mexican","4.5",15,"1",91331,"34.2674","-118.42"
"154","pjdcVOohfn5PovduwZV25w","La Bocana","la-bocana-pacoima","mexican","4.5",18,"1",91331,"34.2732","-118.412"
"155","FO9ePNECTeLxNr_-Ceo5CQ","Tacos El Gordo","tacos-el-gordo-pacoima","mexican","4",103,"1",91331,"34.2772","-118.421"
"156","4fpD9PTPvUUfIcafdgmfsg","Guido's Pizza & Pasta","guidos-pizza-and-pasta-pacoima","pizza","4",62,"1",91331,"34.265","-118.402"
"157","B1cm2rxU2ML2JZzV8VABYQ","Rigo's Taco No 3","rigos-taco-no-3-san-fernando","burgers","3.5",97,"1",91340,"34.2901","-118.432"
"158","BXspkkhvYW--lvQagGkBfA","Mandarin Island","mandarin-island-mission-hills","chinese","3.5",317,"2",91345,"34.2576","-118.469"
"159","m_k0od7XZz9OJV9-F0WSAQ","Bobo's Hamburgers","bobos-hamburgers-pacoima","burgers","3.5",120,"1",91331,"34.2637","-118.426"
"160","WXbM_K17nxmNPJ8s8GmGyg","Carnitas Don Cuco","carnitas-don-cuco-pacoima","mexican","4.5",47,"1",91331,"34.2696","-118.407"
"161","za17g7s1qU-R3-vcSmu8Fg","El Caporal Restaurant","el-caporal-restaurant-sylmar","mexican","4",60,"1",91342,"34.3075","-118.431"
"162","DDBW4gjUTK6o4bFb9uLv7w","Euro Fusion Cuisine","euro-fusion-cuisine-tujunga","mediterranean","4.5",88,"2",91042,"34.251","-118.288"
"163","8VbEYPbf8Z__W0i4PvLCsw","El Pollo Loco","el-pollo-loco-san-fernando-4","hotdogs","2",68,"1",91342,"34.2946","-118.417"
"164","L4x9o33N5YpysjlQfnPldA","Panda Wok","panda-wok-sylmar","chinese","3.5",70,"1",91342,"34.3106","-118.428"
"165","YSLTOBoDoiSsswy45n8vkw","Sushi 661","sushi-661-santa-clarita","sushi","4.5",866,"2",91321,"34.4038","-118.466"
"166","LOgXdu2pptHhjwwgLHN_Hg","Chai Thung Thai Restaurant","chai-thung-thai-restaurant-sun-valley","thai","4",141,"1",91352,"34.2243","-118.365"
"167","ySDMPCQ9Ae7orK-TBFMw3A","Fosters Freeze","fosters-freeze-san-fernando","icecream","3",96,"1",91340,"34.2924","-118.428"
"168","Fs3hybY3sgB2FwYoY-Jmxw","Panda Express","panda-express-lake-view-terrace","chinese","2.5",47,"1",91342,"34.2761","-118.397"
"169","LTJPW5DiSX2JLID_v0GboA","Chios Peruvian Grill","chios-peruvian-grill-van-nuys","peruvian","4",410,"2",91405,"34.2117","-118.467"
"170","Cap47s29DKB63cAdOzqYfA","House of Grill","house-of-grill-granada-hills-2","filipino","4",143,"1",91344,"34.2577","-118.501"
"171","Qfnbb14wJjoZfREx9cqABA","Miso Tofu Bbq","miso-tofu-bbq-la-crescenta","korean","3.5",55,"2",91214,"34.2388","-118.263"
"172","3WQnJuLM3wUCZl4EISVJWg","Mante House","mante-house-tujunga-3","mideastern","4.5",174,"2",91042,"34.2475","-118.281"
