labels_km,value,distance_centroid,price_1.0,price_2.0,price_3.0,price_4.0,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5.0,type_aa_other,type_asianfusion,type_bakeries,type_bars,type_bbq,type_breakfast_brunch,type_burgers,type_cafes,type_chicken_wings,type_chinese,type_cocktailbars,type_coffee,type_convenience,type_delis,type_desserts,type_diners,type_divebars,type_donuts,type_filipino,type_foodstands,type_foodtrucks,type_french,type_grocery,type_hotdogs,type_icecream,type_indpak,type_italian,type_japanese,type_juicebars,type_korean,type_latin,type_lounges,type_mediterranean,type_mexican,type_mideastern,type_newamerican,type_persian,type_pizza,type_ramen,type_salad,type_salvadoran,type_sandwiches,type_seafood,type_sportsbars,type_streetvendors,type_sushi,type_tacos,type_thai,type_tradamerican,type_vegan,type_vietnamese,type_wine_bars
35,511108.0,0.01464740369261481,23.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,7.0,12.0,5.0,1.0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,6,0,0,2,1,0,0,0,0,1,4,0,2,0,3,0,0,0,1,1,0,0,0,0,2,2,0,0,0
36,1544744.0,0.019349976785714273,28.0,50.0,10.0,2.0,0.0,0.0,0.0,1.0,3.0,9.0,17.0,39.0,17.0,4.0,7,2,6,0,0,2,0,5,0,2,0,4,0,0,2,2,0,0,0,0,3,0,2,1,3,2,13,2,2,0,0,1,1,9,0,5,0,7,0,0,0,2,1,0,0,2,0,0,2,0,0,0
37,345742.0,0.013736575275397777,110.0,43.0,0.0,0.0,0.0,1.0,18.0,18.0,12.0,15.0,25.0,33.0,16.0,15.0,29,0,5,1,7,2,10,0,8,5,2,5,0,0,6,0,0,1,0,0,6,0,2,11,2,0,0,0,0,0,3,0,0,9,0,0,0,16,0,0,2,3,5,4,0,0,2,0,7,0,0,0
38,1149606.0,0.01736312726176115,62.0,144.0,8.0,1.0,0.0,2.0,0.0,3.0,9.0,9.0,37.0,94.0,51.0,10.0,28,4,2,4,2,7,6,0,0,3,3,11,2,3,0,0,1,1,0,0,1,3,0,7,2,6,10,11,2,0,0,0,11,20,0,4,2,16,4,0,0,4,0,4,0,9,3,6,2,8,2,1
39,605291.0,0.013843433499584362,160.0,88.0,3.0,0.0,0.0,1.0,8.0,8.0,6.0,19.0,37.0,103.0,54.0,15.0,18,2,4,9,0,0,14,14,0,10,7,21,2,0,1,0,3,3,2,10,4,0,0,10,2,0,5,0,5,0,0,1,2,48,0,2,0,15,3,0,2,7,2,0,2,0,3,2,7,3,0,6
40,967883.0,0.015011920696324952,138.0,111.0,0.0,0.0,0.0,0.0,2.0,19.0,46.0,49.0,66.0,47.0,16.0,4.0,29,3,3,4,3,3,10,2,4,10,0,15,1,4,1,8,0,3,0,0,0,0,3,20,11,6,10,8,0,4,0,0,6,16,0,7,2,7,0,4,0,15,5,0,0,5,2,3,10,0,2,0
41,483346.0,0.006679207746478874,42.0,22.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,10.0,14.0,21.0,10.0,0.0,4,0,2,0,2,0,2,0,2,2,0,6,2,0,0,0,0,0,2,0,2,0,0,7,0,0,0,4,2,4,0,0,2,9,0,0,0,2,2,0,0,0,2,0,0,0,0,0,4,0,0,0
42,406079.0,0.014752643776824033,223.0,114.0,2.0,0.0,0.0,1.0,21.0,20.0,27.0,49.0,71.0,85.0,53.0,12.0,35,2,10,9,3,12,25,2,5,12,0,22,4,0,11,0,0,5,0,0,6,0,0,19,10,8,7,11,4,0,8,0,0,39,0,9,0,12,2,3,12,22,3,3,0,0,0,2,2,0,0,0
43,453337.0,0.016078924061810187,136.0,58.0,1.0,0.0,0.0,1.0,23.0,21.0,20.0,25.0,39.0,43.0,18.0,5.0,38,2,4,0,4,4,18,2,14,9,0,6,2,2,3,2,0,1,0,0,0,0,1,22,5,0,2,4,0,0,0,0,0,20,0,2,0,13,0,0,0,2,2,1,0,0,4,0,6,0,0,0
44,439366.0,0.012396390702822318,130.0,48.0,0.0,0.0,0.0,0.0,5.0,15.0,17.0,20.0,39.0,42.0,28.0,12.0,20,0,8,0,0,0,2,0,2,10,0,1,6,0,2,2,0,3,0,0,6,0,2,18,2,0,2,2,4,4,2,0,4,28,4,0,4,9,2,2,4,4,4,0,1,0,0,6,0,0,8,0
45,1189614.0,0.014506587141750597,204.0,351.0,34.0,12.0,0.0,0.0,0.0,2.0,12.0,38.0,189.0,259.0,88.0,13.0,92,6,12,0,3,7,21,6,1,16,2,27,2,3,14,4,2,4,3,1,10,0,0,5,12,14,26,61,0,15,2,5,24,31,9,10,9,10,24,6,0,20,3,8,0,39,0,11,9,0,9,3
