,name,id,price,alias,type,category,rating,zip,latitude,longitude,labels_km,centroid_latitude,centroid_longitude,distance_centroid
7980,Kabob Bowl,aJwc6FwkLgel0uE2ju997Q,1.0,kabob-bowl-los-angeles-4,mediterranean,mediterranean,5.0,90065,34.1153,-118.24600000000001,99,34.11183475177305,-118.23799290780141,0.008725
7981,Chicas Tacos,NSo-x-9ieVLtqakrkSGIHg,2.0,chicas-tacos-los-angeles,mexican,mexican,4.0,90014,34.0457,-118.256,3,34.04791858064516,-118.25479096774194,0.002527
7982,Panaderia Delicia,VLH7bxfcpiVne892GNgYmw,1.0,panaderia-delicia-los-angeles,bakeries,bakeries,4.5,90042,34.1089,-118.194,39,34.115948412698415,-118.19605952380952,0.007343
7983,Ten Ren's Tea Time,o1VLOXCBKjDGua1SymH_6g,1.0,ten-rens-tea-time-los-angeles,coffee,coffee,3.5,90012,34.0615,-118.24,65,34.062157142857146,-118.23918253968255,0.001049
7984,Junior Pizza,2kI8M1AZ6Ht-OyKuvnr7uQ,1.0,junior-pizza-los-angeles,pizza,pizza,4.0,90065,34.0888,-118.215,47,34.07790054945055,-118.21534065934065,0.010905
7985,Tokyo Beat,wFHCxZnqECrrv_ebksvxNg,2.0,tokyo-beat-los-angeles,karaoke,karaoke,4.0,90012,34.0494,-118.241,102,34.047863049095604,-118.23999741602067,0.001835
7986,Nabeeya,vobM2Ootv9omVWblCWirDw,2.0,nabeeya-los-angeles,sushi,sushi,4.5,90014,34.0416,-118.251,3,34.04791858064516,-118.25479096774194,0.007369
7987,Beelman's,PnWqQ9aXT2Yd5jPMu7xUVg,2.0,beelmans-los-angeles-4,vegan,vegan,4.5,90014,34.0455,-118.251,3,34.04791858064516,-118.25479096774194,0.004497
7988,Johnny's Bar,yXYdxJuqFG0hO_eWdgSQaQ,1.0,johnnys-bar-los-angeles-2,bars,bars,4.0,90042,34.1211,-118.20700000000001,39,34.115948412698415,-118.19605952380952,0.012093
7989,Madame Monsieur,tsu8Di7RHNdsrXJ0YknlIw,2.0,madame-monsieur-los-angeles,sandwiches,sandwiches,4.5,90017,34.0482,-118.25399999999999,3,34.04791858064516,-118.25479096774194,0.00084
7990,HATCH Yakitori + Bar,eUkd8atkJe4fkKGcD5QZ1A,2.0,hatch-yakitori-bar-los-angeles,japanese,japanese,4.5,90017,34.0481,-118.258,3,34.04791858064516,-118.25479096774194,0.003214
