,name,id,price,alias,type,category,rating,zip,latitude,longitude,labels_km,centroid_latitude,centroid_longitude,distance_centroid
5094,Kiriko,AchWqHDx2zFyurLlGZun_A,3.0,kiriko-los-angeles,japanese,japanese,3.5,90064,34.0386,-118.44200000000001,45,34.03999271523179,-118.43917052980133,0.003154
5095,Panini Kabob Grill,oUW9n_UPBjDQkDs7xzWlzw,2.0,panini-kabob-grill-beverly-hills,mediterranean,mediterranean,4.0,90210,34.0699,-118.406,73,34.06997885462555,-118.40425550660792,0.001746
5096,Cafe D'Etoile,H977Hj8VmEaU5_mrFULJmQ,2.0,cafe-d-etoile-west-hollywood,comfortfood,comfortfood,4.0,90069,34.0843,-118.385,80,34.0809575,-118.38059791666667,0.005527
5097,Ladurée Beverly Hills,sni51mwDwqUY4uWYE4VntQ,2.0,ladurée-beverly-hills-beverly-hills-2,french,french,3.5,90210,34.0685,-118.40100000000001,73,34.06997885462555,-118.40425550660792,0.003576
5098,Sushi Sazanami,ENatS8L8gaZj2pMHCo74pw,2.0,sushi-sazanami-los-angeles-2,japanese,japanese,4.5,91423,34.1573,-118.414,18,34.17067382550336,-118.4053355704698,0.015935
5099,Westwood Thai Cafe,9Y8sGJmX1Uzaq9rYLPFkPA,1.0,westwood-thai-cafe-los-angeles,thai,thai,3.5,90024,34.0557,-118.44200000000001,22,34.06172512690355,-118.44452030456853,0.006531
5100,The Polo Lounge,w5m6qhTHqOSu75BA1o7wKQ,4.0,the-polo-lounge-beverly-hills,newamerican,newamerican,4.0,90210,34.0814,-118.414,73,34.06997885462555,-118.40425550660792,0.015013
5101,Kogi BBQ Truck- Roja,dlF-qkppswM6lPGVJaiYgA,1.0,kogi-bbq-truck-roja-sherman-oaks,bbq,bbq,4.0,91423,34.1508,-118.43299999999999,98,34.15110349206349,-118.44088253968253,0.007888
5102,LA Prime Caffe,9JQd6auyDCCIj1luDkPfTg,2.0,la-prime-caffe-los-angeles,breakfast_brunch,breakfast_brunch,5.0,90025,34.0426,-118.445,45,34.03999271523179,-118.43917052980133,0.006386
5103,El Torito Oaxaqueño,1w3DLqhn1iisrXxPltAq6Q,1.0,el-torito-oaxaqueño-los-angeles,foodtrucks,foodtrucks,4.0,90025,34.0434,-118.45700000000001,94,34.04686236263736,-118.46259065934066,0.006576
5104,Asian Fusion,OFIAeSeO-LHmZMN5sh3pXw,2.0,asian-fusion-los-angeles-2,asianfusion,asianfusion,4.0,90035,34.0485,-118.385,0,34.0520903930131,-118.3832096069869,0.004012
5105,News Cafe,ClLZa3ppPMyKhpIz24SU7w,1.0,news-cafe-los-angeles,cafes,cafes,4.0,90064,34.0517,-118.411,73,34.06997885462555,-118.40425550660792,0.019483
5106,SUGARFISH by sushi nozawa,yjL4oWSsO2NpvbFJV9Pj3A,3.0,sugarfish-by-sushi-nozawa-beverly-hills,sushi,sushi,4.0,90210,34.0683,-118.398,73,34.06997885462555,-118.40425550660792,0.006477
5107,Tortilla Republic,_-jI35IyXFN4f_PENuaGig,2.0,tortilla-republic-west-hollywood-3,mexican,mexican,4.0,90069,34.0814,-118.385,80,34.0809575,-118.38059791666667,0.004424
5108,The Hideout,LImIRy5El-V5mKHQk8iwrw,2.0,the-hideout-los-angeles-3,newamerican,newamerican,3.0,90024,34.063,-118.441,22,34.06172512690355,-118.44452030456853,0.003744
5109,Enzo's Pizzeria,hdabpPPAaPp6Q3rQ47zZOw,1.0,enzos-pizzeria-los-angeles,pizza,pizza,3.5,90024,34.0623,-118.447,22,34.06172512690355,-118.44452030456853,0.002545
5110,Fatburger,V0PC9nh-iRnxwXtt2DR0LA,1.0,fatburger-los-angeles-29,burgers,burgers,3.5,90025,34.0458,-118.46600000000001,94,34.04686236263736,-118.46259065934066,0.003571
5111,The Plaza Pantry,2a164ASGbxi9wXXs1cyj3A,2.0,the-plaza-pantry-los-angeles-2,breakfast_brunch,breakfast_brunch,4.5,90049,34.0519,-118.47200000000001,94,34.04686236263736,-118.46259065934066,0.010673
5112,Pure Energy Cafe Pacific Palisades,CDyUo55KVJZgHE2jjtLoxQ,2.0,pure-energy-cafe-pacific-palisades-pacific-palisades-3,newamerican,newamerican,4.0,90272,34.0392,-118.555,36,34.04345555555555,-118.53036666666667,0.024998
5113,Nozawa Bar,2gg_3Rm3abLj30niqIkXuA,4.0,nozawa-bar-beverly-hills-3,sushi,sushi,4.5,90210,34.0682,-118.398,73,34.06997885462555,-118.40425550660792,0.006504
5114,Aires Oaxaqueños,uSc9L4WQDb2wXbBSD-sL9A,1.0,aires-oaxaqueños-los-angeles,foodstands,foodstands,4.5,90064,34.0306,-118.447,45,34.03999271523179,-118.43917052980133,0.012228
5115,Yen Sushi & Sake Bar,kbnRLD_016oFbrWce_DnWw,2.0,yen-sushi-and-sake-bar-los-angeles,sushi,sushi,3.5,90035,34.0548,-118.398,0,34.0520903930131,-118.3832096069869,0.015037
5116,Vittorio Ristorante & Pizzeria,wwzihl9c3QezQ_8PuJrGBQ,2.0,vittorio-ristorante-and-pizzeria-pacific-palisades,italian,italian,4.0,90272,34.0479,-118.545,36,34.04345555555555,-118.53036666666667,0.015293
5117,Moku Sushi,EYX7aCm_xnOyc4jlXI3Jmg,2.0,moku-sushi-pacific-palisades,japanese,japanese,4.0,90272,34.0451,-118.552,36,34.04345555555555,-118.53036666666667,0.021696
5118,K Bakery Eatery + Bakeshop,t47f0FLJCxEPm-YjzagkHQ,2.0,k-bakery-eatery-bakeshop-pacific-palisades-2,bakeries,bakeries,4.5,90272,34.0456,-118.552,36,34.04345555555555,-118.53036666666667,0.021739
5119,Matthew's Garden Cafe,Wv_nDEQBDJSRIw87REs6Rg,2.0,matthews-garden-cafe-pacific-palisades,cafes,cafes,4.0,90272,34.0464,-118.52600000000001,36,34.04345555555555,-118.53036666666667,0.005267
5120,Ronny's Market & Liquor,ZlFs-LhKA0zLAQwZ6rYpyw,1.0,ronnys-market-and-liquor-pacific-palisades,beer_and_wine,beer_and_wine,4.5,90272,34.0479,-118.545,36,34.04345555555555,-118.53036666666667,0.015293
5121,Fiesta Feast,OjPTJTQ4zXP6PSSo-wVIhA,1.0,fiesta-feast-pacific-palisades,mexican,mexican,4.0,90272,34.0409,-118.554,36,34.04345555555555,-118.53036666666667,0.023771
5122,Palisades Pizza,veNck9hbdtxJiVAUN6d9hg,2.0,palisades-pizza-pacific-palisades,pizza,pizza,3.5,90272,34.0466,-118.527,36,34.04345555555555,-118.53036666666667,0.004607
5123,Galvan Food Catering Truck,ANQFkvQWuqd7dnF361dQ5A,1.0,galvan-food-catering-truck-pacific-palisades,mexican,mexican,4.5,90272,34.0391,-118.53399999999999,36,34.04345555555555,-118.53036666666667,0.005672
5124,Patrick's Roadhouse,onVJt3z3kI-bJkKohrDohg,2.0,patricks-roadhouse-santa-monica,diners,diners,3.5,90402,34.028,-118.51799999999999,36,34.04345555555555,-118.53036666666667,0.019794
5125,Juice Crafters,dEjk9rohtQNg6TJ8cc3n-A,2.0,juice-crafters-pacific-palisades-2,juicebars,juicebars,4.0,90272,34.047,-118.527,36,34.04345555555555,-118.53036666666667,0.004889
5126,Pinocchio In Cucina,SQoc1kYt3iNuwJkn5wiwMw,2.0,pinocchio-in-cucina-pacific-palisades-2,italian,italian,4.0,90272,34.0466,-118.524,36,34.04345555555555,-118.53036666666667,0.007101
5127,Chipotle Mexican Grill,F86e4ojrAU305WpJq85aYg,1.0,chipotle-mexican-grill-pacific-palisades,mexican,mexican,3.0,90272,34.0466,-118.524,36,34.04345555555555,-118.53036666666667,0.007101
5128,Taco Bell,o2-798Q8ok29ieBzacR2xA,1.0,taco-bell-pacific-palisades,hotdogs,hotdogs,4.0,90272,34.039,-118.555,36,34.04345555555555,-118.53036666666667,0.025033
5129,Café 1919,UOG1vQhRWxiM_cQYvNAjrw,1.0,café-1919-los-angeles-2,italian,italian,4.0,90024,34.0726,-118.45100000000001,22,34.06172512690355,-118.44452030456853,0.012659
5130,Veggie Greek,Epx3YXER1UNrSXADuHZDyw,2.0,veggie-greek-los-angeles,greek,greek,5.0,90024,34.0554,-118.44200000000001,22,34.06172512690355,-118.44452030456853,0.006809
5131,Covel Commons Residential Restaurant,TyDle42ASOpi5Z7Sc3l28g,1.0,covel-commons-residential-restaurant-los-angeles,tradamerican,tradamerican,4.0,90024,34.073,-118.45,22,34.06172512690355,-118.44452030456853,0.012536
5132,Dyllan's Deli,iNd5um_yfFw2pSF1-E1GFg,1.0,dyllans-deli-los-angeles-2,delis,delis,4.5,90024,34.0589,-118.44200000000001,22,34.06172512690355,-118.44452030456853,0.003786
5133,De Neve Commons Residential Restaurant,jMHo_8fvvoHEagoPW6FtCg,1.0,de-neve-commons-residential-restaurant-los-angeles,buffets,buffets,4.0,90024,34.0704,-118.45,22,34.06172512690355,-118.44452030456853,0.010261
5134,Arturo's BBQ,3BuLiSNw-1P4AdsTlRi93Q,2.0,arturos-bbq-los-angeles,foodtrucks,foodtrucks,4.0,90077,34.13,-118.47,10,34.154119897959184,-118.47239795918368,0.024239
5135,Roadside Grill,Alm1NXgFwT2gJ88RpBXW1w,1.0,roadside-grill-los-angeles,burgers,burgers,3.5,90025,34.0662,-118.445,22,34.06172512690355,-118.44452030456853,0.004501
5136,Hop Li,MRNqTTmEui3bIKXmKnhy-Q,2.0,hop-li-los-angeles,chinese,chinese,3.0,90025,34.0422,-118.461,94,34.04686236263736,-118.46259065934066,0.004926
5137,Shades of Curry,oA0V9OOiuKSyF80j2tyF-A,2.0,shades-of-curry-los-angeles,indpak,indpak,4.0,90025,34.0481,-118.463,94,34.04686236263736,-118.46259065934066,0.001304
5138,Domino's Pizza,dMWYWxJJM7YfFdDe9CNWkA,1.0,dominos-pizza-pacific-palisades-2,pizza,pizza,2.5,90272,34.0479,-118.544,36,34.04345555555555,-118.53036666666667,0.014339
5139,Louigi's Italian Kitchen,LsFLYDp6-q-0ngE9QpmVlA,2.0,louigis-italian-kitchen-los-angeles,pizza,pizza,3.5,90025,34.0462,-118.448,45,34.03999271523179,-118.43917052980133,0.010793
5140,Le Pain Quotidien,OYt5UHoizvgOsi-cQNYhwQ,2.0,le-pain-quotidien-los-angeles-20,coffee,coffee,4.0,90049,34.0482,-118.491,4,34.04297058823529,-118.492,0.005324
5141,North End Pizza,mfKZ_oApeZptCE49N7KMYg,2.0,north-end-pizza-los-angeles,italian,italian,3.0,90064,34.0329,-118.45299999999999,45,34.03999271523179,-118.43917052980133,0.015542
5142,Echigo,J-l4Semm7D0jomNbptmMUg,3.0,echigo-los-angeles-2,sushi,sushi,4.0,90025,34.04,-118.465,94,34.04686236263736,-118.46259065934066,0.007273
5143,Communitea & Coffee Cafe,XD8cQgPT24xpjdI0uV6ETg,1.0,communitea-and-coffee-cafe-los-angeles,cafes,cafes,5.0,90077,34.1274,-118.47,10,34.154119897959184,-118.47239795918368,0.026827
5144,The Greenhouse,VsfYRn8Zis256vX3MvOcaQ,1.0,the-greenhouse-los-angeles,newamerican,newamerican,4.0,90024,34.0704,-118.444,22,34.06172512690355,-118.44452030456853,0.00869
5145,Mexican American Grill & Deli,Yeh5mh193xWQLZJ8ZUGH-w,1.0,mexican-american-grill-and-deli-los-angeles,mexican,mexican,3.5,90024,34.0629,-118.447,22,34.06172512690355,-118.44452030456853,0.002744
5146,Venice Ale House,PmgSFMddP1kkBZIG20yDiw,2.0,venice-ale-house-venice,newamerican,newamerican,3.5,90291,33.9946,-118.48,76,33.99013333333333,-118.46911574074075,0.011765
5147,Chez Tex,eSLEDUYfpawVWW_qTgA7gw,2.0,chez-tex-venice,cafes,cafes,4.0,90291,33.9972,-118.479,76,33.99013333333333,-118.46911574074075,0.012151
5148,Jimmy Johns,KnQzDIY2hTKNamRbTeowfg,1.0,jimmy-johns-santa-monica,sandwiches,sandwiches,3.0,90402,34.04,-118.47399999999999,94,34.04686236263736,-118.46259065934066,0.013314
5149,Prime Italian,FSz0dgsXnKvQSL52qurL0Q,1.0,prime-italian-sherman-oaks,italian,italian,4.0,91423,34.1647,-118.44,98,34.15110349206349,-118.44088253968253,0.013625
5150,Honorable Subs,ob_6bogOKq_ATJwsSQG4RQ,1.0,honorable-subs-los-angeles,sandwiches,sandwiches,3.5,90025,34.0451,-118.447,45,34.03999271523179,-118.43917052980133,0.009348
5151,Baja Bud's,UnmVn92kZhsvba2390mwzA,1.0,baja-buds-los-angeles-2,mexican,mexican,3.5,90025,34.0481,-118.463,94,34.04686236263736,-118.46259065934066,0.001304
5152,The Firehouse,b711hZTQuHJneo7iErK1ww,2.0,the-firehouse-venice,tradamerican,tradamerican,3.0,90291,33.9964,-118.478,76,33.99013333333333,-118.46911574074075,0.010872
5153,Beverly Glen Deli,dy7tKbR9BqcFICI03jKMeQ,2.0,beverly-glen-deli-los-angeles,delis,delis,3.5,90077,34.1276,-118.444,98,34.15110349206349,-118.44088253968253,0.023709
5154,Harvest Cafe,EDQfyGdwqZdsUcfG1OqyhA,1.0,harvest-cafe-los-angeles,delis,delis,3.5,90025,34.044000000000004,-118.46799999999999,94,34.04686236263736,-118.46259065934066,0.00612
5155,The Gluten Free Goddess Bakery,ywM5ni27dwlOYOyG4Wez0w,2.0,the-gluten-free-goddess-bakery-venice-2,bakeries,bakeries,4.0,90291,34.0004,-118.47,76,33.99013333333333,-118.46911574074075,0.010305
5156,Fruit Stand,0llEYt1ATaZNmKwqiBFC9g,1.0,fruit-stand-los-angeles-8,salad,salad,2.5,90024,34.0566,-118.446,22,34.06172512690355,-118.44452030456853,0.005334
5157,Fatburger,JauWHFChLLBzbHLavZStSw,2.0,fatburger-los-angeles-20,burgers,burgers,2.5,90025,34.0474,-118.444,45,34.03999271523179,-118.43917052980133,0.008843
5158,Rubio's,NGQLgF7WL6pU73ItsA0nEg,1.0,rubios-los-angeles-5,mexican,mexican,3.0,90024,34.0685,-118.445,22,34.06172512690355,-118.44452030456853,0.006792
5159,Sholeh,Q_MHYVh2F9q0dNrFmchc0g,2.0,sholeh-los-angeles,persian,persian,3.0,90024,34.0546,-118.441,22,34.06172512690355,-118.44452030456853,0.007947
5160,Federal Cafe,130Br_VSsGhRflfr5MQpKA,1.0,federal-cafe-los-angeles,sandwiches,sandwiches,4.0,90024,34.0576,-118.448,22,34.06172512690355,-118.44452030456853,0.005397
5161,New Japan by SushiStop,a1GWLGHyWr1d0Pac0QnUTg,1.0,new-japan-by-sushistop-los-angeles,japanese,japanese,3.5,90025,34.0469,-118.448,45,34.03999271523179,-118.43917052980133,0.01121
5162,Garden Cafe,jQVRSpzNkAe0mGrzkXw0VA,1.0,garden-cafe-los-angeles-7,cafes,cafes,4.5,90025,34.0345,-118.455,94,34.04686236263736,-118.46259065934066,0.014507
5163,Habibi Cafe,a8zs0zfAHa231nGGUutvrQ,2.0,habibi-cafe-los-angeles,coffee,coffee,2.5,90024,34.0631,-118.447,22,34.06172512690355,-118.44452030456853,0.002835
5164,Cafe 50's,rebOAJOKKS2c6bJdZ8GyEw,2.0,cafe-50s-los-angeles,diners,diners,3.5,90025,34.0446,-118.455,94,34.04686236263736,-118.46259065934066,0.007921
5165,Asianya,2qycueA1kBSErAUP7LQEpQ,2.0,asianya-los-angeles-2,asianfusion,asianfusion,3.5,90064,34.029,-118.443,45,34.03999271523179,-118.43917052980133,0.011641
5166,SEAS Cafe,FSwYtdKnrIQ3ofqMShHKJg,1.0,seas-cafe-los-angeles,cafes,cafes,4.5,90024,34.069,-118.443,22,34.06172512690355,-118.44452030456853,0.007432
5167,Venice Beach Bar & Kitchen,4J6fzAAMe9SBYHKGNfshTA,2.0,venice-beach-bar-and-kitchen-venice,divebars,divebars,4.0,90291,33.9942,-118.48,76,33.99013333333333,-118.46911574074075,0.011619
5168,Cafe Dahab,Mhpdqef1fHyPgVHmj53pcw,2.0,cafe-dahab-los-angeles,mideastern,mideastern,3.5,90025,34.0463,-118.448,45,34.03999271523179,-118.43917052980133,0.010851
5169,Trimana,c2z2WohzRlBfGFUqF4ikCg,1.0,trimana-los-angeles-36,cafes,cafes,4.0,90025,34.0436,-118.46799999999999,94,34.04686236263736,-118.46259065934066,0.006317
5170,Berri's Pizza,mIVWtPdnOWFQJ8j1dy6B2w,2.0,berris-pizza-los-angeles-2,salad,salad,3.5,90025,34.0475,-118.444,45,34.03999271523179,-118.43917052980133,0.008927
5171,The Greek Kabob,AVVXqTBTDOl_T6RZlmI3fg,1.0,the-greek-kabob-los-angeles,greek,greek,3.5,90064,34.0327,-118.45299999999999,45,34.03999271523179,-118.43917052980133,0.015635
5172,Trimana,o6NwWQf1q4EDnWQkdyignQ,2.0,trimana-los-angeles,sandwiches,sandwiches,2.5,90064,34.0359,-118.443,45,34.03999271523179,-118.43917052980133,0.005605
5173,Simplethings,r9Dk0l1p-mLM_j63ucmVEw,2.0,simplethings-los-angeles-4,newamerican,newamerican,3.5,90024,34.0606,-118.445,22,34.06172512690355,-118.44452030456853,0.001223
5174,Angolo DiVino,1ykmFi--XzPw9EdICqCqrA,3.0,angolo-divino-los-angeles,italian,italian,3.0,90025,34.0482,-118.443,45,34.03999271523179,-118.43917052980133,0.009057
5175,O Sushi,8YIsgV6fQX_xfOTWzNoAHw,2.0,o-sushi-los-angeles,sushi,sushi,3.0,90025,34.0475,-118.444,45,34.03999271523179,-118.43917052980133,0.008927
5176,Gourmet Genie,GOgBE8pxnqTeD7uoycXkBA,1.0,gourmet-genie-los-angeles-2,mediterranean,mediterranean,3.0,90025,34.0451,-118.447,45,34.03999271523179,-118.43917052980133,0.009348
5177,Cafe Glace,tqSbtO_2ZYYB1-eORVwfzw,1.0,cafe-glace-los-angeles-6,persian,persian,4.0,90024,34.0544,-118.441,22,34.06172512690355,-118.44452030456853,0.008127
5178,Papa John's Pizza,wYNkk3i1FvT4kI814Y77Vg,1.0,papa-johns-pizza-los-angeles-7,pizza,pizza,2.5,90025,34.0476,-118.464,94,34.04686236263736,-118.46259065934066,0.001591
5179,Denny's,FO2c7nLMs4xvgNUvq81Ljg,2.0,dennys-westwood,diners,diners,2.5,90024,34.0602,-118.443,22,34.06172512690355,-118.44452030456853,0.002153
5180,Take Five,tMkcO88ezCmABg0P12oq9Q,1.0,take-five-los-angeles,sandwiches,sandwiches,3.0,90024,34.0576,-118.446,22,34.06172512690355,-118.44452030456853,0.004382
5181,Bluestone Lane,fiSoX8Zcu2_UQItd5ORHTQ,2.0,bluestone-lane-venice,coffee,coffee,4.0,90291,33.9987,-118.473,76,33.99013333333333,-118.46911574074075,0.009406
5182,MB Chinese Food,2d8Z5ko2mT7BVKkxwFQpwQ,2.0,mb-chinese-food-sherman-oaks-2,chinese,chinese,3.5,91423,34.1494,-118.441,98,34.15110349206349,-118.44088253968253,0.001708
5183,The Flame Broiler,YrVwUbhaMBU0vZqWQd2RQA,1.0,the-flame-broiler-los-angeles,korean,korean,3.5,90024,34.0625,-118.447,22,34.06172512690355,-118.44452030456853,0.002598
5184,Tomodachi Sushi,QiiuqzcD4HUqYpKhhGXU6Q,2.0,tomodachi-sushi-los-angeles,sushi,sushi,3.5,90024,34.0623,-118.448,22,34.06172512690355,-118.44452030456853,0.003527
5185,Media Services Cafe,pE3-U1XKbFZ6Fp-5WmV6YA,2.0,media-services-cafe-los-angeles,cafes,cafes,4.0,90049,34.0661,-118.46,95,34.06922033898305,-118.46959322033898,0.010088
5186,Oliver Cafe | Lounge - West LA,REsIDmOmkVaUo6f7mN_sQw,2.0,oliver-cafe-lounge-west-la-los-angeles,newamerican,newamerican,3.0,90025,34.0455,-118.443,45,34.03999271523179,-118.43917052980133,0.006708
5187,La Fiesta Brava,ScF3bWsrdMBIAV4LQBt9yg,1.0,la-fiesta-brava-los-angeles,mexican,mexican,4.0,90291,33.9967,-118.477,76,33.99013333333333,-118.46911574074075,0.010261
5188,The Corner Deli & Grill,SuOdhXSVJDWMI0F8L-lkPA,1.0,the-corner-deli-and-grill-los-angeles,burgers,burgers,4.0,90025,34.048,-118.444,45,34.03999271523179,-118.43917052980133,0.009351
5189,Subway,OOEZBmR4N0F-7iROtKySAQ,1.0,subway-pacific-palisades,sandwiches,sandwiches,3.0,90272,34.0473,-118.52600000000001,36,34.04345555555555,-118.53036666666667,0.005818
5190,Judi's Deli & Cafe,2HTZBgL1ps-CRlsfDPVe-g,2.0,judis-deli-and-cafe-los-angeles,cafes,cafes,3.0,90064,34.0379,-118.443,45,34.03999271523179,-118.43917052980133,0.004364
5191,T's Chili Wagon,6vPVlD7rYoy54iF__h7PLQ,1.0,ts-chili-wagon-sherman-oaks,foodstands,foodstands,3.0,91403,34.1349,-118.484,10,34.154119897959184,-118.47239795918368,0.02245
5192,The Local,l9edqCEFh_iLI80btHdUEA,1.0,the-local-los-angeles-2,coffee,coffee,5.0,90291,33.9948,-118.476,76,33.99013333333333,-118.46911574074075,0.008317
5193,Envios Montealban,d7_a0-7BCJvj5dPm7J6G6A,2.0,envios-montealban-los-angeles,restaurants,restaurants,3.0,90025,34.0417,-118.461,94,34.04686236263736,-118.46259065934066,0.005402
5194,Market Cafe at Westwood Gateway,iJhPhuGGzIX8cljDu_Ix8g,2.0,market-cafe-at-westwood-gateway-los-angeles,cafes,cafes,3.0,90025,34.0469,-118.445,45,34.03999271523179,-118.43917052980133,0.009038
5195,Neli's Catering & Restaurant,vjYdvkaCnS_v_FBhT23aQg,1.0,nelis-catering-and-restaurant-los-angeles,catering,catering,4.5,90064,34.0332,-118.448,45,34.03999271523179,-118.43917052980133,0.01114
5196,The Front Yard,25fipMHUHLZTq0sVQINi5g,2.0,the-front-yard-north-hollywood-2,tapasmallplates,tapasmallplates,4.0,91602,34.1452,-118.369,38,34.14435813953489,-118.36399069767442,0.00508
5197,Flavor of India,_ilI4Knop17ZFODCoYsUxQ,2.0,flavor-of-india-studio-city-3,indpak,indpak,4.5,91604,34.1433,-118.402,34,34.14673902439024,-118.39973170731707,0.00412
5198,Tamashii Ramen House,6OJmUatUyG3vfr_2u53U_w,2.0,tamashii-ramen-house-studio-city-2,ramen,ramen,4.5,91604,34.1432,-118.391,34,34.14673902439024,-118.39973170731707,0.009422
5199,Hot Stone Slow Food From Korea,Oz43JIwIA0ya6JSnxE3cuA,1.0,hot-stone-slow-food-from-korea-studio-city,korean,korean,4.0,91604,34.1436,-118.4,34,34.14673902439024,-118.39973170731707,0.00315
5200,Kiwami by Katsu-Ya,kfPwVYbPUez68OKD6oTbMg,3.0,kiwami-by-katsu-ya-studio-city-3,japanese,japanese,4.0,91604,34.1427,-118.39200000000001,34,34.14673902439024,-118.39973170731707,0.008723
5201,Il Tramezzino - Studio City,7ACHrpHQpnEafnad9kh8hw,2.0,il-tramezzino-studio-city-studio-city,italian,italian,4.5,91604,34.146,-118.417,34,34.14673902439024,-118.39973170731707,0.017284
5202,Tatang,uFfpT6C7YWa1VoeLH9imBA,2.0,tatang-los-angeles,filipino,filipino,4.5,91606,34.1795,-118.367,59,34.16706605166052,-118.3719889298893,0.013397
5203,HOPE,hlZztccf751MLwMsgh63kQ,2.0,hope-studio-city,vegetarian,vegetarian,4.5,91604,34.1436,-118.39200000000001,34,34.14673902439024,-118.39973170731707,0.008345
5204,Mexicali Cocina & Cantina,l2vKyaQWASx2e4AdHg-IgQ,2.0,mexicali-cocina-and-cantina-studio-city-2,mexican,mexican,3.5,91604,34.1436,-118.397,34,34.14673902439024,-118.39973170731707,0.004161
5205,Bluestone Lane,SHC6QgCkPEMrcIF368fZxQ,2.0,bluestone-lane-los-angeles,coffee,coffee,4.5,91604,34.1431,-118.398,34,34.14673902439024,-118.39973170731707,0.00403
5206,Teru Sushi,H3kFTJbXNuJohjQeELSz3w,2.0,teru-sushi-studio-city-2,sushi,sushi,4.0,91604,34.143,-118.39200000000001,34,34.14673902439024,-118.39973170731707,0.008588
5207,Tender Greens,du_9rkxAj1LhYeWDjq3jrg,2.0,tender-greens-studio-city-2,newamerican,newamerican,3.5,91604,34.1429,-118.39399999999999,34,34.14673902439024,-118.39973170731707,0.006899
5208,Ceremony Bar,VxX9LC0x60pcfySSoSC5wg,2.0,ceremony-bar-studio-city,bars,bars,3.5,91604,34.1419,-118.39,34,34.14673902439024,-118.39973170731707,0.010868
5209,YOK RAMEN,Ta6EGRpkiqrnj2A6mlKXSQ,2.0,yok-ramen-sherman-oaks,ramen,ramen,4.5,91423,34.1475,-118.43,98,34.15110349206349,-118.44088253968253,0.011464
5210,Daiwa Sushi,mC2I-gsJonGxwjYJvqm-TQ,2.0,daiwa-sushi-studio-city,sushi,sushi,4.5,91604,34.1431,-118.404,34,34.14673902439024,-118.39973170731707,0.005609
5211,Asanebo,lMZ_SovsgcqQcg9-jssHvg,4.0,asanebo-studio-city,sushi,sushi,4.0,91604,34.1436,-118.39200000000001,34,34.14673902439024,-118.39973170731707,0.008345
5212,Sushi Katsu-Ya Studio City,L0ZVnotO1XqyX9nYG2y5sA,3.0,sushi-katsu-ya-studio-city-studio-city,sushi,sushi,4.0,91604,34.1409,-118.387,34,34.14673902439024,-118.39973170731707,0.014007
5213,Haruya Izakaya,6lnsJHALiOe9V3oDbZTcTw,2.0,haruya-izakaya-los-angeles-2,sushi,sushi,4.5,91604,34.1403,-118.38600000000001,34,34.14673902439024,-118.39973170731707,0.015166
5214,Danielle's Wood Fired Pizza,_uK2D5Zg0aCE2EOsSZ_3nA,2.0,danielles-wood-fired-pizza-valley-village,pizza,pizza,4.5,91607,34.1583,-118.396,34,34.14673902439024,-118.39973170731707,0.012148
5215,The Counter Studio City,40Qidxhh6jDezDQ5vNfeTg,2.0,the-counter-studio-city-studio-city,burgers,burgers,4.0,91604,34.1436,-118.396,34,34.14673902439024,-118.39973170731707,0.004876
5216,NoHo Cafe,JgjWjllG1MVR30ROuFlLyA,2.0,noho-cafe-north-hollywood-2,mediterranean,mediterranean,5.0,91607,34.1793,-118.396,18,34.17067382550336,-118.4053355704698,0.012711
5217,Talesai,xuu1jMNf0QPTRGxFzBWgVA,2.0,talesai-studio-city,thai,thai,4.0,91604,34.1416,-118.389,34,34.14673902439024,-118.39973170731707,0.011899
5218,Hyperion Public - Studio City,Gat2unEweWOPRbQWPPELYQ,2.0,hyperion-public-studio-city-los-angeles-2,gastropubs,gastropubs,3.5,91604,34.1456,-118.416,34,34.14673902439024,-118.39973170731707,0.016308
5219,Rocco's Tavern,aryGKinelr_Sgfiufp57iw,2.0,roccos-tavern-studio-city,italian,italian,4.0,91604,34.1426,-118.406,34,34.14673902439024,-118.39973170731707,0.007512
5220,RioZonas Açaí,u62E-fTvvVFm0YRbBwJzXg,1.0,riozonas-açaí-los-angeles,juicebars,juicebars,4.5,91604,34.1439,-118.399,34,34.14673902439024,-118.39973170731707,0.002932
5221,Studio Sushi,nZpNofhaVSBIF2ILZjxElw,2.0,studio-sushi-studio-city,sushi,sushi,4.5,91604,34.145,-118.39299999999999,34,34.14673902439024,-118.39973170731707,0.006953
5222,Four 'N 20,o2Q9ZU_4CVl5y-kH-PD3yQ,2.0,four-n-20-valley-village,diners,diners,4.0,91607,34.1566,-118.397,34,34.14673902439024,-118.39973170731707,0.010232
5223,Noodle Monster,TMvjicqyRjPuPmNYMlugjw,2.0,noodle-monster-valley-village-3,thai,thai,4.0,91607,34.1655,-118.397,18,34.17067382550336,-118.4053355704698,0.009811
5224,Amir's Falafel,dShagE0SzZSm9xV9DadmGA,2.0,amirs-falafel-studio-city-2,mideastern,mideastern,4.0,91604,34.1416,-118.38799999999999,34,34.14673902439024,-118.39973170731707,0.012808
5225,Green Apple China Bistro,r1ueYocL9Gp2BHJ8zfY4TA,2.0,green-apple-china-bistro-studio-city,chinese,chinese,4.0,91604,34.1435,-118.4,34,34.14673902439024,-118.39973170731707,0.00325
