,id,name,alias,type,rating,review_count,price,location,latitude,longitude
9798,DBsHbGCYAc2-FkIDd_mXUw,The Tripel,the-tripel-playa-del-rey,gastropubs,4.0,833,2.0,90293,33.960423,-118.44695700000001
9799,5-womLiuFgDp0nAY39kTXg,Fork-In Aussie Pies,fork-in-aussie-pies-inglewood,coffee,4.5,316,2.0,90304,33.92481,-118.37808000000001
9800,JxfOcD7GPDXPk2RuylDJcQ,Sustainabowl,sustainabowl-los-angeles-4,poke,5.0,202,2.0,90045,33.9617584,-118.4207342
9801,VXlEkqpUVWrQ6avlUVHI6Q,Tortuga Bay,tortuga-bay-inglewood-3,mexican,4.0,220,1.0,90301,33.9619049,-118.3570355
9802,rv82HG_UPgWR-l1ambrq7A,KC's Crepes Cafe,kcs-crepes-cafe-los-angeles,coffee,4.0,751,1.0,90045,33.962223,-118.420906
9803,zFaOwOIpnv-FhVnZ93TYYg,Jino's Pars,jinos-pars-los-angeles,persian,4.0,489,2.0,90045,33.9596851,-118.3843376
9804,mas0AN_uP5xzHZAdUoed2A,J Nichols Kitchen,j-nichols-kitchen-marina-del-rey,newamerican,4.0,887,2.0,90292,33.9855469206624,-118.43817472457899
9805,9LntXhQyHeWh4DVuK8JFwg,Kabuki Japanese Restaurant,kabuki-japanese-restaurant-los-angeles-2,japanese,3.5,760,2.0,90045,33.9782560266118,-118.39306711045099
9806,VPvV2wuxuOq3sQOY4Vfwyw,La Fonda of Inglewood Restaurant,la-fonda-of-inglewood-restaurant-inglewood,mexican,4.5,422,1.0,90304,33.9457082646346,-118.358840681612
9807,z3mpVlEPfq9Ur49vL1uoog,Fiesta Martin Bar & Grill,fiesta-martin-bar-and-grill-inglewood-2,mexican,3.5,347,2.0,90301,33.9665499112054,-118.35127282887699
9808,6pE_mCteXQ0VkMP0Zv2V_g,Tumby's Pizza,tumbys-pizza-inglewood,pizza,4.0,413,1.0,90301,33.9600850707484,-118.375004384668
9809,b-aLCjiF1QT2l7o9Dus2yw,Dinah's Family Restaurant,dinahs-family-restaurant-los-angeles,diners,3.0,1096,2.0,90045,33.9803,-118.394892
9810,f_JRJ_-OYDtUHI7VcN1gJg,MiddleBar,middlebar-inglewood-2,breakfast_brunch,4.5,100,2.0,90301,33.9636701873141,-118.352189880951
9811,2cNmmr9yzdnNPppwExt9SQ,Eataly,eataly-los-angeles-6,gourmet,3.5,1729,2.0,90067,34.0592198370764,-118.419729726938
9812,U-jWH-Cld5YxdJQv7MvKAQ,Urban Plates,urban-plates-playa-vista,newamerican,4.0,579,2.0,90094,33.976726,-118.4173534
9813,VcWtA6r5j2Qf7FtvpfyCSA,Mutiara Food & Market,mutiara-food-and-market-inglewood-4,burmese,4.5,137,1.0,90301,33.9612556,-118.35346489999999
9814,K3eWASxqM57CT-hY9UTNuA,Cherry Pick Cafe,cherry-pick-cafe-los-angeles,sandwiches,4.5,253,1.0,90012,34.0528009543339,-118.24785200251301
9815,EF7_oq8XUJHSmhJHRykfTw,American Deli,american-deli-inglewood,chicken_wings,4.5,107,1.0,90301,33.9619249,-118.34976499999999
9816,HJPKtBsegasQ7bL_abfDnQ,Emma's Snack Shop,emmas-snack-shop-inglewood,sandwiches,5.0,62,1.0,90301,33.961594,-118.3520949
9817,VpmMh3NLzIjuSMSgnuLW7Q,Viva Fresh Mexican Grill,viva-fresh-mexican-grill-los-angeles-2,mexican,3.5,332,1.0,90045,33.9803443,-118.39480470000001
9818,RMRGGgThu6IDdv2fpdA6Lg,Don Rogelio's Restaurant,don-rogelios-restaurant-lennox,mexican,4.5,258,1.0,90304,33.9396191,-118.36120509999999
9819,Nb7U0_KtPXi_xL-pXkfHxQ,Beverly Falafel,beverly-falafel-los-angeles,greek,4.0,201,2.0,90048,34.073404019502895,-118.376805782318
9820,eBjKpL25zoOxP2mo4yt5Lw,Kopan Sushi & Ramen Bar,kopan-sushi-and-ramen-bar-los-angeles,ramen,4.5,61,2.0,90048,34.07338,-118.37906000000001
9821,zCtFxwim8958IKYiywHKzg,North End Pizzeria,north-end-pizzeria-los-angeles,italian,3.5,225,2.0,90048,34.0732619,-118.37688119999999
9822,VOFA28djXACRkmtwkYCGdQ,Goal Sports Cafe,goal-sports-cafe-los-angeles,sportsbars,3.5,221,2.0,90048,34.072542999999996,-118.37128999999999
9823,Nrt1dZ_a8dk7zAA4L47-_w,Avec Nous,avec-nous-beverly-hills,french,4.0,102,3.0,90210,34.07262,-118.39538
9824,MKzpvCubZUrS3WKa9NIgdQ,n10 restaurant,n10-restaurant-los-angeles,italian,4.0,143,3.0,90048,34.072889,-118.37454
9825,bF77QPjeu0QhMAWpsz_AAw,Le Pain Quotidien,le-pain-quotidien-los-angeles-23,bakeries,3.5,165,2.0,90048,34.0729019073337,-118.383548855782
9826,azUYhEVbLU5tpHtKQMgKTg,Pico Cafe,pico-cafe-los-angeles,breakfast_brunch,3.0,92,2.0,90035,34.054959999999994,-118.38703000000001
9827,sKzG-reXj6ZrcS4qG4ohIQ,My Little Dumpling,my-little-dumpling-los-angeles-2,dimsum,4.0,89,2.0,90048,34.07287,-118.37428
9828,3-5GhaFEmPmXsLdRrUTZiA,Coral Tree Café,coral-tree-café-beverly-hills-2,breakfast_brunch,3.5,115,2.0,90212,34.06408,-118.39943000000001
9829,ZfHO3reY56DliVYFtvDP1g,Red Fish Kitchen,red-fish-kitchen-los-angeles,sushi,4.0,32,4.0,90035,34.055328369140604,-118.385215759277
9830,InN6t0XhZmogx1aXx7bE4A,Shanghai Diamond Garden,shanghai-diamond-garden-los-angeles-2,chinese,3.5,42,2.0,90035,34.055549600000006,-118.394043
9831,iEpr2fI8fbC9OyesFqoREg,Pinkberry,pinkberry-beverly-hills-4,icecream,3.0,126,1.0,90212,34.06346,-118.39872
9832,_XWo0VEj66e29LLDrJPKyA,Above SIXTY,above-sixty-beverly-hills,bars,3.5,60,2.0,90212,34.0667,-118.39617
9833,lQvltXqg7Z58kZ1Mubtb1w,IL Sogno Deli,il-sogno-deli-los-angeles,gluten_free,4.0,46,1.0,90048,34.070096899999996,-118.375224
9834,vdhdBixkZWYB083RSgS2kQ,Ten Pound Bar,ten-pound-bar-beverly-hills,lounges,4.0,34,4.0,90210,34.067790170544896,-118.398744141248
9835,CZ76ZVidkoqKjCVaGQWWfA,Beverly Hills Market,beverly-hills-market-beverly-hills,breakfast_brunch,3.5,87,1.0,90210,34.0699387,-118.39876640000001
9836,zkgtSC5wVC2-T3c27fQdwg,Curry Bowl Indian Express,curry-bowl-indian-express-los-angeles,indpak,4.5,31,2.0,90048,34.07323,-118.37661999999999
9837,gxetEcI88-nDoEg-Y2Ydiw,Baskin-Robbins,baskin-robbins-los-angeles-24,icecream,3.0,74,1.0,90035,34.0464774,-118.38588100000001
9838,XBwqLcVJ19GRa-mFf3q2iw,Elias Kosher Kabob,elias-kosher-kabob-los-angeles-2,meats,4.0,13,2.0,90019,34.055193,-118.38436000000002
9839,W49lB4R62Dd8W8tekWkstA,Jimmy John's,jimmy-johns-beverly-hills-4,sandwiches,3.0,96,1.0,90212,34.0650441636538,-118.398979868206
